,0,1,2,3,4,5,6,7
bencana,an,ba,er,ge,ka,ke,lo,ts
title_ori_MLP_acc,0.865,0.795,0.865,0.82,0.82,0.765,0.79,0.805
title_ori_MLP_f1,0.7096774193548387,0.616822429906542,0.34146341463414637,0.5499999999999999,0.6170212765957447,0.584070796460177,0.43243243243243246,0.6355140186915889
text_ori_MLP_acc,0.8,0.85,0.87,0.82,0.815,0.855,0.805,0.825
text_ori_MLP_f1,0.23076923076923078,0.7272727272727273,0.45833333333333326,0.3571428571428571,0.5647058823529412,0.6741573033707865,0.5301204819277109,0.6153846153846155
tc_ori_MLP_acc,0.795,0.855,0.88,0.84,0.815,0.825,0.805,0.82
tc_ori_MLP_f1,0.19607843137254902,0.7289719626168224,0.52,0.4666666666666667,0.5842696629213484,0.6391752577319587,0.5411764705882353,0.6326530612244898
filter_word_tc_MLP_acc,0.845,0.775,0.875,0.77,0.725,0.825,0.8,0.805
filter_word_tc_MLP_f1,0.5866666666666667,0.5544554455445543,0.5098039215686274,0.0,0.6153846153846153,0.5882352941176471,0.574468085106383,0.38095238095238093
textrank_MLP_acc,0.86,0.81,0.855,0.795,0.8,0.83,0.77,0.82
textrank_MLP_f1,0.641025641025641,0.6041666666666667,0.45283018867924524,0.22641509433962267,0.5238095238095237,0.2608695652173913,0.34285714285714286,0.5609756097560975
trunc_first_short_MLP_acc,0.87,0.825,0.855,0.84,0.815,0.84,0.81,0.84
trunc_first_short_MLP_f1,0.6976744186046512,0.7286821705426356,0.25641025641025644,0.5,0.7175572519083969,0.30434782608695654,0.5365853658536586,0.6363636363636365
trunc_last_short_MLP_acc,0.815,0.815,0.88,0.78,0.74,0.795,0.775,0.77
trunc_last_short_MLP_f1,0.39344262295081966,0.5747126436781609,0.5,0.15384615384615385,0.23529411764705882,0.5858585858585859,0.3283582089552239,0.5964912280701754
trunc_first_long_MLP_acc,0.86,0.88,0.855,0.85,0.825,0.855,0.8,0.82
trunc_first_long_MLP_f1,0.688888888888889,0.7692307692307692,0.29268292682926833,0.5588235294117647,0.7107438016528925,0.4081632653061224,0.6226415094339622,0.5714285714285715
trunc_last_long_MLP_acc,0.815,0.81,0.865,0.79,0.77,0.855,0.79,0.805
trunc_last_long_MLP_f1,0.4788732394366197,0.6041666666666667,0.3720930232558139,0.125,0.3783783783783784,0.6741573033707865,0.4166666666666667,0.41791044776119407
trunc_combination_MLP_acc,0.845,0.85,0.865,0.86,0.81,0.86,0.81,0.825
trunc_combination_MLP_f1,0.6265060240963856,0.6739130434782609,0.4255319148936171,0.6000000000000001,0.525,0.5483870967741935,0.5365853658536586,0.6534653465346534
sum_indobart_MLP_acc,0.86,0.87,0.85,0.845,0.79,0.88,0.775,0.87
sum_indobart_MLP_f1,0.6,0.7592592592592593,0.21052631578947367,0.5633802816901408,0.5434782608695653,0.5714285714285713,0.48275862068965514,0.6666666666666667
sum_liputan6_MLP_acc,0.885,0.835,0.885,0.85,0.785,0.845,0.77,0.84
sum_liputan6_MLP_f1,0.6933333333333332,0.6732673267326733,0.5106382978723405,0.6250000000000001,0.6446280991735538,0.4150943396226415,0.5964912280701753,0.69811320754717
sum_pegasus_MLP_acc,0.77,0.785,0.87,0.785,0.74,0.835,0.74,0.755
sum_pegasus_MLP_f1,0.08,0.6504065040650405,0.45833333333333326,0.0851063829787234,0.13333333333333333,0.3529411764705882,0.1875,0.0392156862745098
